granule,row,col,label,aoi_pos_frac,data_frac,tier,dist_km,grounded_frac,ice_condition,vel_m_yr,source,timestamp
025_019,25600,14336,none,0.0,1.0,core,30.0,1.0,grounded,35.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,14848,none,0.0,1.0,core,27.6,1.0,grounded,61.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,15360,none,0.0,1.0,core,25.2,1.0,grounded,102.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,15872,none,0.0,1.0,core,22.9,1.0,grounded,133.3,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,16896,none,0.0,1.0,core,18.5,1.0,grounded,185.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,17408,none,0.0,1.0,core,16.4,1.0,grounded,211.4,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,18432,none,0.0,1.0,core,12.8,1.0,grounded,297.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,18944,none,0.0,1.0,core,11.4,1.0,grounded,340.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,19456,none,0.0,1.0,core,10.6,1.0,grounded,388.4,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,19968,none,0.0,1.0,core,9.2,1.0,grounded,441.6,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,20480,none,0.0,1.0,core,7.2,1.0,grounded,494.3,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,20992,none,0.0,1.0,core,5.7,1.0,grounded,539.6,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,21504,none,0.0,1.0,core,5.1,1.0,grounded,569.6,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,22016,none,0.0,1.0,core,3.6,1.0,grounded,600.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,22528,none,0.0,1.0,core,2.6,1.0,grounded,630.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,23040,none,0.0,1.0,core,2.6,1.0,grounded,649.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,25088,none,0.0,1.0,core,2.6,1.0,grounded,887.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,25600,none,0.0,1.0,core,5.1,1.0,grounded,894.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,26112,none,0.0,1.0,core,7.2,1.0,grounded,866.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,26624,none,0.0,1.0,core,9.2,1.0,grounded,815.6,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,27136,none,0.0,1.0,core,11.4,1.0,grounded,770.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,27648,none,0.0,1.0,core,12.8,1.0,grounded,772.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,28160,none,0.0,1.0,core,13.1,1.0,grounded,771.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,28672,none,0.0,1.0,core,12.8,1.0,grounded,757.4,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,29184,none,0.0,1.0,core,12.8,1.0,grounded,717.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,29696,none,0.0,1.0,core,12.8,1.0,grounded,672.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,30208,none,0.0,1.0,core,13.1,1.0,grounded,621.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,30720,none,0.0,1.0,core,13.8,1.0,grounded,575.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,31232,none,0.0,1.0,core,12.8,1.0,grounded,526.5,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,31744,none,0.0,1.0,core,11.4,1.0,grounded,468.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,32256,none,0.0,1.0,core,10.6,1.0,grounded,418.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,32768,none,0.0,1.0,core,10.2,1.0,grounded,386.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,33280,none,0.0,1.0,core,10.6,1.0,grounded,335.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,33792,none,0.0,1.0,core,11.4,1.0,grounded,293.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,35328,none,0.0,1.0,core,16.4,1.0,grounded,180.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,35840,none,0.0,1.0,core,18.5,1.0,grounded,147.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,25600,36352,none,0.0,1.0,core,20.6,1.0,grounded,136.3,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,15360,none,0.0,1.0,core,24.3,1.0,grounded,33.3,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,15872,none,0.0,1.0,core,21.9,1.0,grounded,65.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,16384,none,0.0,1.0,core,19.5,1.0,grounded,110.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,16896,none,0.0,1.0,core,17.2,1.0,grounded,148.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,18944,none,0.0,1.0,core,9.2,1.0,grounded,322.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,20480,none,0.0,1.0,core,5.7,1.0,grounded,489.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,20992,none,0.0,1.0,core,3.6,1.0,grounded,553.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,21504,none,0.0,1.0,core,2.6,1.0,grounded,602.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,22016,none,0.0,1.0,core,2.6,1.0,grounded,627.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,25088,none,0.0,1.0,core,2.6,1.0,grounded,936.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,25600,none,0.0,1.0,core,3.6,1.0,grounded,941.3,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,26112,none,0.0,1.0,core,5.7,1.0,grounded,911.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,26624,none,0.0,1.0,core,8.1,1.0,grounded,851.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,27136,none,0.0,1.0,core,9.2,1.0,grounded,809.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,27648,none,0.0,1.0,core,10.9,1.0,grounded,818.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,28160,none,0.0,1.0,core,10.6,1.0,grounded,811.6,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,28672,none,0.0,1.0,core,10.2,1.0,grounded,780.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,29184,none,0.0,1.0,core,10.2,1.0,grounded,740.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,29696,none,0.0,1.0,core,10.2,1.0,grounded,690.5,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,30208,none,0.0,1.0,core,10.6,1.0,grounded,635.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,30720,none,0.0,1.0,core,11.4,1.0,grounded,579.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,31232,none,0.0,1.0,core,10.9,1.0,grounded,522.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,31744,none,0.0,1.0,core,9.2,1.0,grounded,451.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,32256,none,0.0,1.0,core,8.1,1.0,grounded,404.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,33280,none,0.0,1.0,core,8.1,1.0,grounded,317.5,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,33792,none,0.0,1.0,core,9.2,1.0,grounded,266.3,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,34816,none,0.0,1.0,core,12.8,1.0,grounded,220.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,35328,none,0.0,1.0,core,14.9,1.0,grounded,174.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,35840,none,0.0,1.0,core,17.2,1.0,grounded,145.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26112,36352,none,0.0,1.0,core,19.5,1.0,grounded,129.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,16384,none,0.0,1.0,core,18.6,1.0,grounded,38.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,16896,none,0.0,1.0,core,16.2,1.0,grounded,86.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,17408,none,0.0,1.0,core,13.8,1.0,grounded,132.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,17920,none,0.0,1.0,core,11.4,1.0,grounded,183.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,18432,none,0.0,1.0,core,9.2,1.0,grounded,243.3,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,18944,none,0.0,1.0,core,7.2,1.0,grounded,294.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,19456,none,0.0,1.0,core,5.7,1.0,grounded,345.5,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,19968,none,0.0,1.0,core,5.1,1.0,grounded,406.5,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,20480,none,0.0,1.0,core,3.6,1.0,grounded,480.5,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,20992,none,0.0,1.0,core,2.6,1.0,grounded,563.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,25600,none,0.0,1.0,core,2.6,1.0,grounded,992.5,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,26112,none,0.0,1.0,core,5.1,1.0,grounded,963.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,26624,none,0.0,1.0,core,5.7,1.0,grounded,894.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,27136,none,0.0,1.0,core,7.2,1.0,grounded,861.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,27648,none,0.0,1.0,core,9.2,1.0,grounded,875.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,28160,none,0.0,1.0,core,8.1,1.0,grounded,850.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,28672,none,0.0,1.0,core,7.7,1.0,grounded,810.5,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,29184,none,0.0,1.0,core,7.7,1.0,grounded,765.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,29696,none,0.0,1.0,core,7.7,1.0,grounded,705.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,30208,none,0.0,1.0,core,8.1,1.0,grounded,640.6,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,30720,none,0.0,1.0,core,9.2,1.0,grounded,579.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,31232,none,0.0,1.0,core,9.2,1.0,grounded,514.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,31744,none,0.0,1.0,core,7.2,1.0,grounded,443.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,32256,none,0.0,1.0,core,5.7,1.0,grounded,394.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,32768,none,0.0,1.0,core,5.1,1.0,grounded,349.4,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,35328,none,0.0,1.0,core,13.8,1.0,grounded,162.7,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,35840,none,0.0,1.0,core,16.2,1.0,grounded,133.6,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,26624,36352,none,0.0,1.0,core,18.6,1.0,grounded,120.3,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,16896,none,0.0,1.0,core,15.6,1.0,grounded,26.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,17408,none,0.0,1.0,core,13.1,1.0,grounded,69.2,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,17920,none,0.0,1.0,core,10.6,1.0,grounded,126.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,19456,none,0.0,1.0,core,3.6,1.0,grounded,321.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,19968,none,0.0,1.0,core,2.6,1.0,grounded,391.5,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,20480,none,0.0,1.0,core,2.6,1.0,grounded,468.6,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,25600,none,0.0,1.0,core,2.6,1.0,grounded,1042.9,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,26112,none,0.0,1.0,core,2.6,1.0,grounded,1015.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,26624,none,0.0,1.0,core,3.6,1.0,grounded,943.8,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,27136,none,0.0,1.0,core,5.7,1.0,grounded,918.0,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,27648,none,0.0,1.0,core,7.2,1.0,grounded,916.1,alphaearth,2026-09-02T21:55:23.071182+00:00
025_019,27136,28160,none,0.0,1.0,core,5.7,1.0,grounded,886.2,alphaearth,2026-09-02T21:55:23.071182+00:00
