granule,row,col,label,timestamp
025_091,27996,31260,none,2026-09-01T17:39:48.507449+00:00
025_091,26460,19484,none,2026-09-01T17:39:48.507469+00:00
025_091,53084,28188,crevasse,2026-09-01T17:39:48.507476+00:00
025_091,59740,34844,none,2026-09-01T17:39:48.507480+00:00
025_091,60764,24092,crevasse,2026-09-01T17:39:48.507508+00:00
025_091,21852,21532,none,2026-09-01T17:39:48.507515+00:00
025_091,55132,26140,crevasse,2026-09-01T17:39:48.507518+00:00
025_091,55132,38428,none,2026-09-01T17:39:48.507529+00:00
025_091,21852,19996,none,2026-09-01T17:39:48.507538+00:00
025_091,54108,31772,crevasse,2026-09-01T17:39:48.507543+00:00
025_091,20316,16924,none,2026-09-01T17:39:48.507547+00:00
025_091,40796,11804,none,2026-09-01T17:39:48.507560+00:00
025_091,56156,31772,crevasse,2026-09-01T17:39:48.507567+00:00
025_091,40796,34844,none,2026-09-01T17:39:48.507590+00:00
025_091,53596,30748,crevasse,2026-09-01T17:39:48.507599+00:00
025_091,14684,25628,none,2026-09-01T17:39:48.507601+00:00
025_091,38236,27164,crevasse,2026-09-01T17:39:48.507610+00:00
025_091,43356,28188,crevasse,2026-09-01T17:39:48.507633+00:00
025_091,43356,11804,none,2026-09-01T17:39:48.507648+00:00
025_091,20828,20508,none,2026-09-01T17:39:48.507653+00:00
025_091,33116,29212,none,2026-09-01T17:39:48.507657+00:00
025_091,56668,30748,crevasse,2026-09-01T17:39:48.507659+00:00
025_091,48988,34332,crevasse,2026-09-01T17:39:48.507677+00:00
025_091,30044,26140,none,2026-09-01T17:39:48.507679+00:00
025_091,17756,16924,none,2026-09-01T17:39:48.507693+00:00
025_091,49500,29212,crevasse,2026-09-01T17:39:48.507697+00:00
025_091,33116,27164,none,2026-09-01T17:39:48.507700+00:00
025_091,19804,13852,none,2026-09-01T17:39:48.507702+00:00
025_091,31068,14364,none,2026-09-01T17:39:48.507704+00:00
025_091,53084,33820,crevasse,2026-09-01T17:39:48.507715+00:00
025_091,56668,27164,crevasse,2026-09-01T17:39:48.507726+00:00
025_091,22364,6684,none,2026-09-01T17:39:48.507845+00:00
